second,position
4247.4,a
4258.42,b
4264.12,c
4282.72,b

4288.1,a
4385.42,b
4390.92,c
4407.76,d

4457.88,a
4474.44,b
4480.72,c
4491.12,e

4513.4,c
4517.06,b

4523.34,a
4621.0,b
4626.28,c
4644.14,d

4660.82,a
4682.82,b
4687.96,c
4713.96,b
4717.24,a

4813.8,b
4821.06,c
4830.16,b
4832.66,c
4837.26,d

4914.66,a
4920.76,b
4927.5,c
4945.66,e

5005.9,c
5010.26,b

5013.44,a
5113.04,b
5115.84,c
5125.9,e

5243.58,a
5248.38,b
5255.7,c
5282.82,d

5319.58,c
5322.62,b

5326.42,a
5420.12,b
5431.76,c
5444.2,e

5465.82,a
5478.66,b
5484.04,c
5487.82,e

5523.86,c
5527.76,b

5531.28,a
5629.1,b
5637.02,c
5648.66,b
5664.8,c
5674.96,b
5683.86,c
5709.04,e

5801.04,a
5828.76,b
5833.42,c
5836.86,e

5857.02,c
5862.5,b
5862.74,c
5862.94,b


5869.82,a
5966.78,b
5972.76,c
5976.2,e

6059.9,a
6064.22,b
6068.8,c
6079.62,d

6097.48,c
6100.8,b

6103.62,a
6217.14,b
6226.0,c
6252.9,b
6258.38,c
6266.04,b
6270.14,c
6302.44,d

6461.38,a
6467.62,b
6473.06,c
6478.56,e

6523.6,c
6527.3,b

6531.32,a
6633.68,b
6636.92,c
6640.8,e

6711.64,a
6717.16,b
6729.14,c
6744.96,d

6794.7,c
6798.26,b

6801.36,a
6905.32,b
6923.94,c
6935.92,b
6939.2,c
6943.74,d
